Index	Input		Binary		Hexadecimal
-----	-----		------		------------
1		985		1111011001		FFFFFFFFD9
2		988		1111011100		FFFFFFFFDC
3		8		1000		8
4		34		100010		22
5		17		10001		11
6		49		110001		31
7		5		101		5
8		39		100111		27
9		0		0		0
10		33		100001		21
11		12		1100		C
12		1018		1111111010		FFFFFFFFFA
13		27		11011		1B
14		1020		1111111100		FFFFFFFFFC
15		986		1111011010		FFFFFFFFDA
16		26		11010		1A
17		49		110001		31
18		29		11101		1D
19		42		101010		2A
20		1008		1111110000		FFFFFFFFF0
21		996		1111100100		FFFFFFFFE4
22		34		100010		22
23		20		10100		14
24		0		0		0
25		25		11001		19
26		45		101101		2D
27		3		11		3
28		978		1111010010		FFFFFFFFD2
29		978		1111010010		FFFFFFFFD2
30		29		11101		1D
31		33		100001		21
32		29		11101		1D
33		26		11010		1A
34		1019		1111111011		FFFFFFFFFB
35		988		1111011100		FFFFFFFFDC
36		12		1100		C
37		45		101101		2D
38		974		1111001110		FFFFFFFFCE
39		0		0		0
40		1018		1111111010		FFFFFFFFFA
41		985		1111011001		FFFFFFFFD9
42		35		100011		23
43		26		11010		1A
44		989		1111011101		FFFFFFFFDD
45		982		1111010110		FFFFFFFFD6
46		14		1110		E
47		1021		1111111101		FFFFFFFFFD
48		22		10110		16
49		977		1111010001		FFFFFFFFD1
50		12		1100		C
51		1007		1111101111		FFFFFFFFEF
52		993		1111100001		FFFFFFFFE1
53		999		1111100111		FFFFFFFFE7
54		989		1111011101		FFFFFFFFDD
55		1006		1111101110		FFFFFFFFEE
56		14		1110		E
57		37		100101		25
58		1016		1111111000		FFFFFFFFF8
59		983		1111010111		FFFFFFFFD7
60		974		1111001110		FFFFFFFFCE
61		1015		1111110111		FFFFFFFFF7
62		2		10		2
63		12		1100		C
64		985		1111011001		FFFFFFFFD9
65		1007		1111101111		FFFFFFFFEF
66		0		0		0
67		27		11011		1B
68		28		11100		1C
69		45		101101		2D
70		980		1111010100		FFFFFFFFD4
71		28		11100		1C
72		35		100011		23
73		991		1111011111		FFFFFFFFDF
74		43		101011		2B
75		1020		1111111100		FFFFFFFFFC
76		23		10111		17
77		975		1111001111		FFFFFFFFCF
78		49		110001		31
79		1017		1111111001		FFFFFFFFF9
80		986		1111011010		FFFFFFFFDA
81		979		1111010011		FFFFFFFFD3
82		5		101		5
83		1003		1111101011		FFFFFFFFEB
84		26		11010		1A
85		1022		1111111110		FFFFFFFFFE
86		1000		1111101000		FFFFFFFFE8
87		6		110		6
88		979		1111010011		FFFFFFFFD3
89		1020		1111111100		FFFFFFFFFC
90		15		1111		F
91		0		0		0
92		1007		1111101111		FFFFFFFFEF
93		989		1111011101		FFFFFFFFDD
94		43		101011		2B
95		45		101101		2D
96		989		1111011101		FFFFFFFFDD
97		1016		1111111000		FFFFFFFFF8
98		28		11100		1C
99		47		101111		2F
100		34		100010		22
101		1000		1111101000		FFFFFFFFE8
102		982		1111010110		FFFFFFFFD6
103		1011		1111110011		FFFFFFFFF3
104		14		1110		E
105		979		1111010011		FFFFFFFFD3
106		989		1111011101		FFFFFFFFDD
107		27		11011		1B
108		1012		1111110100		FFFFFFFFF4
109		1005		1111101101		FFFFFFFFED
110		1004		1111101100		FFFFFFFFEC
111		1010		1111110010		FFFFFFFFF2
112		20		10100		14
113		30		11110		1E
114		12		1100		C
115		988		1111011100		FFFFFFFFDC
116		977		1111010001		FFFFFFFFD1
117		997		1111100101		FFFFFFFFE5
118		1021		1111111101		FFFFFFFFFD
119		6		110		6
120		36		100100		24
121		9		1001		9
122		1008		1111110000		FFFFFFFFF0
123		36		100100		24
124		997		1111100101		FFFFFFFFE5
125		7		111		7
126		1018		1111111010		FFFFFFFFFA
127		1019		1111111011		FFFFFFFFFB
128		5		101		5
129		47		101111		2F
130		23		10111		17
131		976		1111010000		FFFFFFFFD0
132		1000		1111101000		FFFFFFFFE8
133		40		101000		28
134		1020		1111111100		FFFFFFFFFC
135		1006		1111101110		FFFFFFFFEE
136		1005		1111101101		FFFFFFFFED
137		14		1110		E
138		15		1111		F
139		1		1		1
140		24		11000		18
141		1015		1111110111		FFFFFFFFF7
142		974		1111001110		FFFFFFFFCE
143		18		10010		12
144		15		1111		F
145		30		11110		1E
146		44		101100		2C
147		9		1001		9
148		19		10011		13
149		33		100001		21
150		41		101001		29
151		1000		1111101000		FFFFFFFFE8
152		43		101011		2B
153		48		110000		30
154		1001		1111101001		FFFFFFFFE9
155		7		111		7
156		28		11100		1C
157		8		1000		8
158		1022		1111111110		FFFFFFFFFE
159		37		100101		25
160		42		101010		2A
161		1007		1111101111		FFFFFFFFEF
162		1018		1111111010		FFFFFFFFFA
163		36		100100		24
164		22		10110		16
165		27		11011		1B
166		31		11111		1F
167		977		1111010001		FFFFFFFFD1
168		981		1111010101		FFFFFFFFD5
169		0		0		0
170		27		11011		1B
171		30		11110		1E
172		12		1100		C
173		1009		1111110001		FFFFFFFFF1
174		1005		1111101101		FFFFFFFFED
175		982		1111010110		FFFFFFFFD6
176		987		1111011011		FFFFFFFFDB
177		31		11111		1F
178		1014		1111110110		FFFFFFFFF6
179		18		10010		12
180		33		100001		21
181		1009		1111110001		FFFFFFFFF1
182		17		10001		11
183		25		11001		19
184		999		1111100111		FFFFFFFFE7
185		1019		1111111011		FFFFFFFFFB
186		33		100001		21
187		1011		1111110011		FFFFFFFFF3
188		33		100001		21
189		1014		1111110110		FFFFFFFFF6
190		47		101111		2F
191		47		101111		2F
192		1011		1111110011		FFFFFFFFF3
193		992		1111100000		FFFFFFFFE0
194		1		1		1
195		1		1		1
196		999		1111100111		FFFFFFFFE7
197		991		1111011111		FFFFFFFFDF
198		16		10000		10
199		17		10001		11
200		4		100		4

Time elapsed: 0.190274 seconds
